iter	Passed	Remaining
0	0	63
1	1	56
2	1	53
3	2	50
4	2	49
5	3	48
6	3	47
7	4	48
8	4	47
9	5	46
10	5	46
11	6	46
12	6	46
13	7	46
14	8	46
15	8	46
16	9	45
17	9	44
18	10	43
19	10	43
20	11	42
21	11	41
22	12	41
23	12	40
24	13	39
25	13	39
26	14	38
27	14	38
28	15	37
29	15	37
30	16	36
31	16	35
32	17	35
33	17	34
34	18	34
35	18	33
36	19	33
37	20	32
38	20	32
39	21	31
40	21	31
41	21	30
42	22	29
43	22	29
44	23	28
45	24	28
46	24	27
47	25	27
48	25	26
49	25	25
50	26	25
51	26	24
52	27	24
53	27	23
54	28	23
55	28	22
56	29	22
57	29	21
58	30	21
59	30	20
60	31	20
61	31	19
62	32	18
63	32	18
64	33	17
65	33	17
66	34	16
67	34	16
68	35	15
69	36	15
70	36	14
71	37	14
72	37	13
73	38	13
74	38	12
75	39	12
76	39	11
77	40	11
78	40	10
79	41	10
80	41	9
81	42	9
82	42	8
83	43	8
84	43	7
85	44	7
86	44	6
87	45	6
88	45	5
89	46	5
90	46	4
91	47	4
92	47	3
93	48	3
94	48	2
95	49	2
96	49	1
97	50	1
98	50	0
99	51	0
